symbol,name,sector,industry,marketCap,ipoYear 
BTN,Ballantyne Strong, Inc,Miscellaneous,Industrial Machinery/Components,$25.2M,n/a
BHB,Bar Harbor Bankshares, Inc.,Finance,Major Banks,$317.51M,n/a
BRN,Barnwell Industries, Inc.,Energy,Oil & Gas Production,$7.95M,n/a
BATL,Battalion Oil Corporation,Energy,Oil & Gas Production,$145.67M,n/a
BIOX,Bioceres Crop Solutions Corp.,Basic Industries,Agricultural Chemicals,$191.46M,2018
PHGE,BiomX Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),$117.61M,2019
BGI,Birks Group Inc.,Consumer Services,Consumer Specialties,$16.17M,n/a
BKTI,BK Technologies Corporation,Technology,Radio And Television Broadcasting And Communications Equipment,$39.6M,n/a
BDR,Blonder Tongue Laboratories, Inc.,Technology,Radio And Television Broadcasting And Communications Equipment,$7.37M,n/a
BRBS,Blue Ridge Bankshares, Inc.,Finance,Major Banks,$87.17M,n/a
BRG,Bluerock Residential Growth REIT, Inc.,Consumer Services,Real Estate Investment Trusts,$172.54M,2014
CMCL,Caledonia Mining Corporation Plc,Basic Industries,Precious Metals,$259.68M,n/a
CEI,Camber Energy, Inc.,Energy,Oil & Gas Production,$14.62M,n/a
CANF,Can-Fite Biopharma Ltd,Health Care,Major Pharmaceuticals,$37.92M,n/a
YCBD,cbdMD, Inc.,Consumer Non-Durables,Package Goods/Cosmetics,$170.95M,2017
CVM,Cel-Sci Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),$478.33M,n/a
LEU,Centrus Energy Corp.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),$153.84M,2014
CCF,Chase Corporation,Consumer Durables,Building Products,$972.59M,n/a
CQP,Cheniere Energy Partners, LP,Public Utilities,Oil/Gas Transmission,$17.05B,2007
LNG,Cheniere Energy, Inc.,Public Utilities,Oil/Gas Transmission,$12.61B,n/a
CVR,Chicago Rivet & Machine Co.,Technology,Industrial Machinery/Components,$20.2M,n/a
CPHI,China Pharma Holdings, Inc.,Health Care,Major Pharmaceuticals,$21.87M,n/a
CKX,CKX Lands, Inc.,Energy,Oil & Gas Production,$17.46M,n/a
COHN,Cohen & Company Inc.,Finance,Investment Bankers/Brokers/Service,$26.14M,n/a
CIX,CompX International Inc.,Capital Goods,Industrial Machinery/Components,$170.35M,1998
LODE,Comstock Mining, Inc.,Basic Industries,Precious Metals,$26.22M,n/a
CDOR,Condor Hospitality Trust, Inc.,Consumer Services,Real Estate Investment Trusts,$48.5M,n/a
MCF,Contango Oil & Gas Company,Energy,Oil & Gas Production,$243.74M,n/a
CMT,Core Molding Technologies Inc,Consumer Non-Durables,Plastic Products,$42.5M,n/a
CRMD,CorMedix Inc.,Health Care,Major Pharmaceuticals,$109.47M,n/a
CVU,CPI Aerostructures, Inc.,Capital Goods,Military/Government/Technical,$37.94M,n/a
CRHM,CRH Medical Corporation,Health Care,Medical/Nursing Services,$173.9M,2015
CTO,CTO Realty Growth, Inc.,Finance,Real Estate,$189.28M,n/a
CTEK,CynergisTek, Inc.,Miscellaneous,Business Services,$17.76M,2017
DXR,Daxor Corporation,Health Care,Medical/Dental Instruments,$70.34M,n/a
DLA,Delta Apparel, Inc.,Consumer Non-Durables,Apparel,$96.12M,n/a
DNN,Denison Mine Corp,Basic Industries,Precious Metals,$322.48M,n/a
DSS,Document Security Systems, Inc.,Consumer Durables,Containers/Packaging,$33.39M,n/a
DPW,DPW Holdings, Inc.,Capital Goods,Industrial Machinery/Components,$16.75M,n/a
DXF,Dunxin Financial Holdings Limited,Finance,Finance: Consumer Services,$13.2M,n/a
ELMD,Electromed, Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,$145.84M,2011
ELLO,Ellomay Capital Ltd.,Public Utilities,Electric Utilities: Central,$330.16M,n/a
EMAN,eMagin Corporation,Technology,Semiconductors,$65.5M,n/a
MSN,Emerson Radio Corporation,Consumer Non-Durables,Consumer Electronics/Appliances,$15.89M,n/a
EMX,EMX Royalty Corporation,Basic Industries,Precious Metals,$251.08M,n/a
UUUU,Energy Fuels Inc,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),$212.72M,n/a
ENSV,ENSERVCO Corporation,Energy,Oilfield Services/Equipment,$12.03M,n/a
ELA,Envela Corporation,Consumer Services,Consumer Specialties,$122.51M,n/a
EQX,Equinox Gold Corp.,Basic Industries,Precious Metals,$2.87B,n/a
ESP,Espey Mfg. & Electronics Corp.,Capital Goods,Industrial Machinery/Components,$45.27M,n/a
EVBN,Evans Bancorp, Inc.,Finance,Major Banks,$119.58M,n/a
EVI,EVI Industries, Inc.,Consumer Services,Other Consumer Services,$308.59M,n/a
EPM,Evolution Petroleum Corporation, Inc.,Energy,Oil & Gas Production,$88.32M,n/a
BDL,Flanigan&#39;s Enterprises, Inc.,Consumer Services,Restaurants,$29.74M,n/a
FSI,Flexible Solutions International Inc.,Basic Industries,Major Chemicals,$29.13M,n/a
FSP,Franklin Street Properties Corp.,Consumer Services,Real Estate Investment Trusts,$555.65M,n/a
FRD,Friedman Industries Inc.,Capital Goods,Steel/Iron Ore,$36.12M,n/a
FTSI,FTS International, Inc.,Energy,Oilfield Services/Equipment,$32.7M,2018
GAU,Galiano Gold Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),$423.36M,n/a
JOB,GEE Group Inc.,Technology,Diversified Commercial Services,$15.34M,n/a
GMO,General Moly, Inc,Basic Industries,Precious Metals,$36.45M,n/a
GSB,GlobalSCAPE, Inc.,Technology,Computer Software: Prepackaged Software,$179M,n/a
GSAT,Globalstar, Inc.,Consumer Services,Telecommunications Equipment,$642.43M,2006
GORO,Gold Resource Corporation,Basic Industries,Precious Metals,$305.31M,n/a
GSV,Gold Standard Ventures Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),$229.64M,n/a
AUMN,Golden Minerals Company,Basic Industries,Precious Metals,$64.21M,n/a
GSS,Golden Star Resources, Ltd,Basic Industries,Precious Metals,$484.94M,n/a
GV,Goldfield Corporation (The),Basic Industries,Water Supply,$96.86M,n/a
GDP,Goodrich Petroleum Corporation,Energy,Oil & Gas Production,$100.81M,2017
GTE,Gran Tierra Energy Inc.,Energy,Oil & Gas Production,$117.4M,n/a
GPL,Great Panther Mining Limited,Basic Industries,Precious Metals,$287.12M,n/a
SIM,Grupo Simec, S.A. de C.V.,Basic Industries,Steel/Iron Ore,$940.72M,1993
AIM,Hemispherx BioPharma, Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),$92.33M,n/a
HMG,HMG/Courtland Properties, Inc.,Consumer Services,Real Estate Investment Trusts,$10.28M,n/a
HUSA,Houston American Energy Corporation,Energy,Oil & Gas Production,$140.95M,n/a
IBIO,iBio, Inc.,Health Care,Major Pharmaceuticals,$650.36M,n/a
IMH,Impac Mortgage Holdings, Inc.,Consumer Services,Real Estate Investment Trusts,$28.87M,1997
IMO,Imperial Oil Limited,Energy,Integrated oil Companies,$11.56B,n/a
IOR,Income Opportunity Realty Investors, Inc.,Consumer Services,Real Estate Investment Trusts,$50.52M,n/a
IGC,India Globalization Capital Inc.,Technology,Electronic Components,$30.05M,n/a
INDO,Indonesia Energy Corporation Limited,Energy,Oil & Gas Production,$33.41M,2019
INFU,InfuSystems Holdings, Inc.,Health Care,Medical/Dental Instruments,$248.66M,n/a
IHT,InnSuites Hospitality Trust,Consumer Services,Real Estate Investment Trusts,$10.15M,n/a
NSPR,InspireMD Inc.,Health Care,Medical/Dental Instruments,$15.41M,n/a
INS,Intelligent Systems Corporation,Technology,Computer Software: Prepackaged Software,$275.78M,1992
THM,International Tower Hill Mines Ltd,Basic Industries,Precious Metals,$318.88M,n/a
INTT,inTest Corporation,Capital Goods,Electrical Products,$46.01M,1997
INUV,Inuvo, Inc,Consumer Services,Advertising,$57.52M,n/a
ISR,IsoRay, Inc.,Health Care,Medical/Dental Instruments,$44.92M,n/a
ISDR,Issuer Direct Corporation,Miscellaneous,Publishing,$58.89M,n/a
ITP,IT Tech Packaging, Inc.,Consumer Durables,Containers/Packaging,$13.94M,n/a
KLR,Kaleyra, Inc.,Technology,EDP Services,$135.65M,2018
KIQ,Kelso Technologies Inc,Capital Goods,Railroads,$33.12M,n/a
LGL,LGL Group, Inc. (The),Capital Goods,Industrial Machinery/Components,$50.3M,n/a
LCTX,Lineage Cell Therapeutics, Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),$127.35M,n/a
MAG,MAG Silver Corporation,Basic Industries,Precious Metals,$1.53B,n/a
MHH,Mastech Digital, Inc,Consumer Services,Professional Services,$244.98M,n/a
MTNB,Matinas Biopharma Holdings, Inc.,Health Care,Major Pharmaceuticals,$160.91M,2017
MMX,Maverix Metals Inc.,Basic Industries,Precious Metals,$611.89M,n/a
MTA,Metalla Royalty & Streaming Ltd.,Basic Industries,Precious Metals,$303.36M,n/a
MXC,Mexco Energy Corporation,Energy,Oil & Gas Production,$10.83M,n/a
MLSS,Milestone Scientific, Inc.,Health Care,Industrial Specialties,$119.51M,2015
MYO,Myomo Inc.,Health Care,Industrial Specialties,$10.64M,2017
NNVC,NanoViricides, Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch,$68.26M,n/a
NHC,National HealthCare Corporation,Health Care,Hospital/Nursing Management,$934.21M,n/a
NAVB,Navidea Biopharmaceuticals, Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,$118.18M,n/a
NTIP,Network-1 Technologies, Inc.,Miscellaneous,Multi-Sector Companies,$52.13M,n/a
GBR,New Concept Energy, Inc,Energy,Oil & Gas Production,$7.29M,n/a
NEN,New England Realty Associates Limited Partnership,Consumer Services,Building operators,$193.78M,n/a
NGD,New Gold Inc.,Basic Industries,Precious Metals,$1.1B,n/a
NXE,Nexgen Energy Ltd.,Basic Industries,Precious Metals,$692.31M,n/a
NAK,Northern Dynasty Minerals, Ltd.,Basic Industries,Precious Metals,$766.04M,n/a
NOG,Northern Oil and Gas, Inc.,Energy,Oil & Gas Production,$342.56M,n/a
NBY,NovaBay Pharmaceuticals, Inc.,Health Care,Major Pharmaceuticals,$44.06M,2007
NG,Novagold Resources Inc.,Basic Industries,Precious Metals,$2.96B,n/a
NTN,NTN Buzztime, Inc.,Consumer Services,Broadcasting,$6.02M,n/a
NES,Nuverra Environmental Solutions, Inc.,Energy,Oilfield Services/Equipment,$30.5M,2017
OBLG,Oblong Inc.,Technology,Computer Software: Programming, Data Processing,$16.83M,n/a
OCX,OncoCyte Corporation,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,$106.93M,2015
OGEN,Oragenics Inc.,Health Care,Major Pharmaceuticals,$71.86M,n/a
PTN,Palatin Technologies, Inc.,Health Care,Major Pharmaceuticals,$135.15M,n/a
PZG,Paramount Gold Nevada Corp.,Basic Industries,Precious Metals,$43.17M,2015
PRK,Park National Corporation,Finance,Major Banks,$1.35B,n/a
PED,Pedevco Corp.,Energy,Oil & Gas Production,$60.89M,n/a
PFNX,Pfenex Inc.,Health Care,Major Pharmaceuticals,$252.73M,2014
PLAG,Planet Green Holdings Corp,Consumer Non-Durables,Packaged Foods,$22.28M,n/a
PLG,Platinum Group Metals Ltd.,Basic Industries,Precious Metals,$132.66M,n/a
PLM,Polymet Mining Corp.,Basic Industries,Precious Metals,$469.66M,n/a
PW,Power REIT,Consumer Services,Real Estate Investment Trusts,$48.49M,n/a
PLX,Protalix BioTherapeutics, Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),$115.82M,n/a
RLGT,Radiant Logistics, Inc.,Transportation,Oil Refining/Marketing,$215.86M,n/a
RHE,Regional Health Properties, Inc.,Health Care,Hospital/Nursing Management,$2.53M,2017
RVP,Retractable Technologies, Inc.,Health Care,Medical/Dental Instruments,$395.13M,n/a
REI,Ring Energy, Inc.,Energy,Oil & Gas Production,$77.49M,n/a
SACH,Sachem Capital Corp.,Consumer Services,Real Estate Investment Trusts,$72.56M,2017
SNMP,Sanchez Midstream Partners LP,Energy,Oil & Gas Production,$6.67M,n/a
SEB,Seaboard Corporation,Finance,Investment Bankers/Brokers/Service,$3.14B,1996
SENS,Senseonics Holdings, Inc.,Capital Goods,Industrial Machinery/Components,$104.03M,n/a
SVT,Servotronics, Inc.,Capital Goods,Industrial Machinery/Components,$21.8M,n/a
SMTS,Sierra Metals Inc.,Basic Industries,Precious Metals,$249.1M,n/a
SIF,SIFCO Industries, Inc.,Capital Goods,Aerospace,$22.07M,n/a
SVM,Silvercorp Metals Inc.,Basic Industries,Precious Metals,$1.24B,n/a
SILV,SilverCrest Metals Inc.,Basic Industries,Precious Metals,$1.09B,2018
XPL,Solitario Zinc Corp.,Basic Industries,Precious Metals,$22.28M,n/a
LOV,Spark Networks, Inc.,Consumer Services,Other Consumer Services,$130.81M,2017
STXS,Stereotaxis, Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,$301.71M,n/a
SSY,SunLink Health Systems, Inc.,Health Care,Hospital/Nursing Management,$6.11M,n/a
SDPI,Superior Drilling Products, Inc.,Energy,Metal Fabrications,$16.02M,2014
SYN,Synthetic Biologics, Inc,Health Care,Major Pharmaceuticals,$10.41M,n/a
TKAT,Takung Art Co., Ltd.,Consumer Services,Other Specialty Stores,$9.92M,n/a
TRX,Tanzanian Gold Corporation,Basic Industries,Precious Metals,$147.41M,n/a
TGB,Taseko Mines Limited,Basic Industries,Precious Metals,$157.56M,n/a
TGC,Tengasco, Inc.,Energy,Oil & Gas Production,$7.05M,n/a
TMBR,Timber Pharmaceuticals, Inc.,Health Care,Major Pharmaceuticals,$22.51M,2015
TMP,Tompkins Financial Corporation,Finance,Major Banks,$953.06M,n/a
TAT,Transatlantic Petroleum Ltd,Energy,Oil & Gas Production,$19.56M,n/a
TRXC,TransEnterix, Inc.,Health Care,Medical/Dental Instruments,$45.27M,n/a
TMQ,Trilogy Metals Inc.,Basic Industries,Precious Metals,$281.93M,n/a
TPHS,Trinity Place Holdings Inc.,Consumer Services,Building operators,$43.46M,n/a
TRT,Trio-Tech International,Technology,Industrial Machinery/Components,$13.22M,n/a
UFAB,Unique Fabricating, Inc.,Capital Goods,Auto Parts:O.E.M.,$30.41M,2015
UAMY,United States Antimony Corporation,Capital Goods,Metal Fabrications,$29.18M,n/a
UUU,Universal Security Instruments, Inc.,Technology,Electronic Components,$5.55M,n/a
URG,Ur Energy Inc,Basic Industries,Precious Metals,$89.66M,n/a
UEC,Uranium Energy Corp.,Basic Industries,Precious Metals,$187.87M,n/a
VGZ,Vista Gold Corporation,Basic Industries,Precious Metals,$129.66M,n/a
VNRX,VolitionRX Limited,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,$152.08M,2015
VOLT,Volt Information Sciences, Inc.,Technology,Professional Services,$29.12M,n/a
WRN,Western Copper and Gold Corporation,Basic Industries,Precious Metals,$140.52M,2011
WYY,WidePoint Corporation,Technology,EDP Services,$62.76M,n/a
WTT,Wireless Telecom Group,  Inc.,Capital Goods,Electrical Products,$24.25M,n/a
XTNT,Xtant Medical Holdings, Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),$15.87M,n/a
ZDGE,Zedge, Inc.,Technology,Computer Software: Prepackaged Software,$18.24M,2016
ZOM,Zomedica Pharmaceuticals Corp.,Health Care,Major Pharmaceuticals,$83.24M,2017


